window,train_end,test_end,n_train,n_test,auc,name,n_bets,win_rate,avg_odds,avg_edge,pnl,roi
1,2016-01-01,2016-07-01,418042,103203,0.7939122901490523,ALL_FAVORITES,8226,0.3054947726720156,3.0694262095793823,-0.06151239341838655,-1431.2,-0.1739849258448821
1,2016-01-01,2016-07-01,418042,103203,0.7939122901490523,HIGH_EDGE,7,0.14285714285714285,4.442857142857142,0.12679074425805184,-3.5,-0.5
1,2016-01-01,2016-07-01,418042,103203,0.7939122901490523,MED_EDGE,96,0.20833333333333334,5.001041666666667,0.06875552645517546,-6.600000000000001,-0.06875000000000002
1,2016-01-01,2016-07-01,418042,103203,0.7939122901490523,LOW_EDGE,571,0.21015761821366025,6.27460595446585,0.03660502206199774,88.5,0.15499124343257442
1,2016-01-01,2016-07-01,418042,103203,0.7939122901490523,CONF_HIGH,550,0.26181818181818184,3.6561818181818184,0.025260872107610133,-62.7,-0.114
1,2016-01-01,2016-07-01,418042,103203,0.7939122901490523,OUTSIDER_HE,8,0.125,9.925,0.05731579182553966,1.0,0.125
1,2016-01-01,2016-07-01,418042,103203,0.7939122901490523,EXTREME_HE,2,0.0,4.7,0.16668002565959922,-2.0,-1.0
2,2016-07-01,2017-01-01,420105,108879,0.8002423424734271,ALL_FAVORITES,8558,0.3143257770507128,3.1515073615330684,-0.05517511997106858,-1124.3000000000002,-0.13137415283944848
2,2016-07-01,2017-01-01,420105,108879,0.8002423424734271,HIGH_EDGE,12,0.16666666666666666,4.933333333333333,0.10870589265345564,-0.5000000000000009,-0.04166666666666674
2,2016-07-01,2017-01-01,420105,108879,0.8002423424734271,MED_EDGE,144,0.19444444444444445,5.907638888888889,0.0675350107618218,-10.899999999999999,-0.07569444444444444
2,2016-07-01,2017-01-01,420105,108879,0.8002423424734271,LOW_EDGE,902,0.1984478935698448,7.933037694013304,0.03644820616848932,281.5,0.3120842572062084
2,2016-07-01,2017-01-01,420105,108879,0.8002423424734271,CONF_HIGH,656,0.30640243902439024,3.2714939024390244,0.02510858840086037,-46.5,-0.07088414634146341
2,2016-07-01,2017-01-01,420105,108879,0.8002423424734271,OUTSIDER_HE,49,0.16326530612244897,12.212244897959186,0.06608066363438293,27.1,0.553061224489796
2,2016-07-01,2017-01-01,420105,108879,0.8002423424734271,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
3,2017-01-01,2017-07-01,422127,104879,0.8003334932165793,ALL_FAVORITES,7967,0.32847997991715827,2.9975147483368896,-0.05617470088923358,-1064.5,-0.13361365633237102
3,2017-01-01,2017-07-01,422127,104879,0.8003334932165793,HIGH_EDGE,3,0.0,4.466666666666666,0.11325685563770804,-3.0,-1.0
3,2017-01-01,2017-07-01,422127,104879,0.8003334932165793,MED_EDGE,98,0.19387755102040816,5.659183673469388,0.06687171941436117,-24.1,-0.24591836734693878
3,2017-01-01,2017-07-01,422127,104879,0.8003334932165793,LOW_EDGE,672,0.16220238095238096,8.154464285714285,0.03500725574012801,-21.799999999999997,-0.032440476190476186
3,2017-01-01,2017-07-01,422127,104879,0.8003334932165793,CONF_HIGH,556,0.29676258992805754,3.4091726618705036,0.02163722186636023,-30.599999999999998,-0.055035971223021576
3,2017-01-01,2017-07-01,422127,104879,0.8003334932165793,OUTSIDER_HE,18,0.1111111111111111,12.127777777777776,0.062374969980048406,18.7,1.0388888888888888
3,2017-01-01,2017-07-01,422127,104879,0.8003334932165793,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
4,2017-07-01,2018-01-01,424754,110501,0.7967764043141817,ALL_FAVORITES,7614,0.3124507486209614,3.0576438140267923,-0.06747558063377378,-1427.8000000000002,-0.18752298397688472
4,2017-07-01,2018-01-01,424754,110501,0.7967764043141817,HIGH_EDGE,0,0.0,0.0,0.0,0.0,0.0
4,2017-07-01,2018-01-01,424754,110501,0.7967764043141817,MED_EDGE,10,0.2,5.549999999999999,0.06328396216057866,-2.1999999999999997,-0.21999999999999997
4,2017-07-01,2018-01-01,424754,110501,0.7967764043141817,LOW_EDGE,158,0.17721518987341772,7.361392405063291,0.03148231321805919,20.500000000000007,0.12974683544303803
4,2017-07-01,2018-01-01,424754,110501,0.7967764043141817,CONF_HIGH,143,0.25874125874125875,3.402797202797203,0.018105220393900424,-20.1,-0.14055944055944056
4,2017-07-01,2018-01-01,424754,110501,0.7967764043141817,OUTSIDER_HE,1,0.0,11.0,0.05027401638630158,-1.0,-1.0
4,2017-07-01,2018-01-01,424754,110501,0.7967764043141817,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
5,2018-01-01,2018-07-01,427462,105160,0.8002853924266893,ALL_FAVORITES,7484,0.3106627471940139,3.06243987172635,-0.05399757834780031,-1453.1000000000001,-0.19416087653661146
5,2018-01-01,2018-07-01,427462,105160,0.8002853924266893,HIGH_EDGE,1,1.0,2.5,0.1410441445986601,1.5,1.5
5,2018-01-01,2018-07-01,427462,105160,0.8002853924266893,MED_EDGE,79,0.189873417721519,5.346835443037975,0.06490175827958357,-10.399999999999999,-0.13164556962025314
5,2018-01-01,2018-07-01,427462,105160,0.8002853924266893,LOW_EDGE,659,0.18968133535660092,8.563732928679817,0.034220458512265635,68.69999999999999,0.10424886191198784
5,2018-01-01,2018-07-01,427462,105160,0.8002853924266893,CONF_HIGH,504,0.30753968253968256,3.236507936507936,0.021986918738015112,-37.5,-0.0744047619047619
5,2018-01-01,2018-07-01,427462,105160,0.8002853924266893,OUTSIDER_HE,23,0.13043478260869565,15.365217391304347,0.06418146285008688,16.8,0.7304347826086957
5,2018-01-01,2018-07-01,427462,105160,0.8002853924266893,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
6,2018-07-01,2019-01-01,429419,109493,0.8093492356966036,ALL_FAVORITES,7860,0.338676844783715,2.9449872773536896,-0.058470106671324344,-1264.7,-0.16090330788804072
6,2018-07-01,2019-01-01,429419,109493,0.8093492356966036,HIGH_EDGE,4,0.25,3.3499999999999996,0.11065438296913252,-0.6000000000000001,-0.15000000000000002
6,2018-07-01,2019-01-01,429419,109493,0.8093492356966036,MED_EDGE,50,0.2,6.032,0.06956942646511202,0.5,0.01
6,2018-07-01,2019-01-01,429419,109493,0.8093492356966036,LOW_EDGE,463,0.15766738660907129,7.9447084233261345,0.033363519431914304,-78.00000000000001,-0.16846652267818576
6,2018-07-01,2019-01-01,429419,109493,0.8093492356966036,CONF_HIGH,414,0.32608695652173914,3.27463768115942,0.021296663151743167,-22.900000000000002,-0.05531400966183576
6,2018-07-01,2019-01-01,429419,109493,0.8093492356966036,OUTSIDER_HE,12,0.08333333333333333,14.0,0.06566088209551253,3.1999999999999993,0.2666666666666666
6,2018-07-01,2019-01-01,429419,109493,0.8093492356966036,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
7,2019-01-01,2019-07-01,430033,88008,0.8067380686327182,ALL_FAVORITES,5900,0.3276271186440678,2.984152542372881,-0.057254799123711585,-911.6,-0.15450847457627118
7,2019-01-01,2019-07-01,430033,88008,0.8067380686327182,HIGH_EDGE,1,0.0,5.0,0.11062456847173663,-1.0,-1.0
7,2019-01-01,2019-07-01,430033,88008,0.8067380686327182,MED_EDGE,27,0.2222222222222222,4.8,0.06678788091401383,-1.6999999999999993,-0.06296296296296294
7,2019-01-01,2019-07-01,430033,88008,0.8067380686327182,LOW_EDGE,254,0.14173228346456693,7.977952755905513,0.033937116297606554,-60.199999999999996,-0.23700787401574802
