DATE,PRIX,HIPPODROME,ARRIVEE
10/03/2010,GRAND NATIONAL DU TROT,Amiens,4 - 15 - 11 - 9 - 8
11/03/2010,PRIX DU MONT SAINT-JEAN,Deauville,10 - 2 - 13 - 9 - 11
12/03/2010,PRIX DU PAYS DE BRAY,Deauville,13 - 2 - 8 - 1 - 14
13/03/2010,PRIX TEDDY,Saint-cloud,11 - 7 - 13 - 3 - 8
14/03/2010,PRIX UNIVERS II,Auteuil,12 - 16 - 5 - 19 - 8
15/03/2010,PRIX DE PICARDIE,Compiegne,12 - 16 - 11 - 5 - 14
16/03/2010,PRIX DU PAYS BASQUE,Saint-cloud,3 - 16 - 18 - 17 - 5
17/03/2010,GRAND PRIX CONSEIL GENERAL DE LA MAYENNE,Laval,12 - 7 - 8 - 6 - 13
18/03/2010,PRIX DES FALAISES,Deauville,10 - 11 - 4 - 9 - 15
19/03/2010,PRIX DE CAUVICOURT,Caen,6 - 3 - 8 - 1 - 2
20/03/2010,HANDICAP DE SAINT-CLOUD,Saint-cloud,7 - 2 - 6 - 1 - 11
21/03/2010,PRIX PREDICATEUR,Auteuil,17 - 7 - 2 - 8 - 3
22/03/2010,PRIX DE SENLIS,Compiegne,9 - 3 - 7 - 12 - 17
23/03/2010,PRIX DU CONSEIL MUNICIPAL DE FONTAINEBLEAU,Fontainebleau,5 - 7 - 2 - 16 - 6
24/03/2010,GRAND PRIX PARIS TURF,Beaumont De Lomagne,5 - 6 - 3 - 16 - 17
25/03/2010,PRIX DE LA SEINE NORMANDE,Deauville,12 - 2 - 9 - 15 - 10
26/03/2010,PRIX MAIA,Vincennes,15 - 17 - 11 - 13 - 3
27/03/2010,PRIX JEAN CABROL,Vincennes,12 - 6 - 1 - 14 - 11
28/03/2010,PRIX LUTTEUR III,Auteuil,11 - 9 - 18 - 1 - 10
29/03/2010,PRIX DES PAYS DE LA LOIRE,Saint-cloud,5 - 16 - 10 - 13 - 12
30/03/2010,PRIX DE L'OISE,Compiegne,14 - 17 - 1 - 9 - 5
31/03/2010,GRAND NATIONAL DU TROT,Marseille,7 - 13 - 2 - 11 - 15
