DATE,PRIX,HIPPODROME,ARRIVEE
17/10/2010,PRIX EUROPE 1,Paris-Longchamp,4 - 7 - 12 - 5 - 9
18/10/2010,PRIX DES GOBELINS,Enghien,10 - 9 - 12 - 1 - 2
19/10/2010,PRIX DES EQUIDAYS,Deauville,4 - 5 - 2 - 13 - 14
20/10/2010,GRAND NATIONAL DU TROT,Lyon,12 - 4 - 7 - 14 - 9
21/10/2010,PRIX DU PATIS,Deauville,14 - 16 - 3 - 5 - 4
22/10/2010,PRIX THEMIS,Vincennes,5 - 15 - 6 - 13 - 8
23/10/2010,PRIX D'AMIENS,Enghien,1 - 6 - 4 - 9 - 2
24/10/2010,PRIX CASTRIES,Paris-Longchamp,1 - 5 - 8 - 4 - 13
25/10/2010,PRIX DE POMAREZ,Enghien,12 - 1 - 2 - 16 - 6
26/10/2010,PRIX DU BRIONNAIS,Saint-cloud,8 - 14 - 10 - 3 - 6
27/10/2010,PRIX DE SAINT-AMAND-LES-EAUX,Enghien,17 - 7 - 18 - 14 - 13
28/10/2010,PRIX DES AUNETTES,Maisons-laffitte,4 - 1 - 15 - 11 - 16
29/10/2010,PRIX JUNO,Vincennes,15 - 17 - 1 - 16 - 14
30/10/2010,PRIX CEREALISTE,Auteuil,13 - 8 - 4 - 5 - 17
31/10/2010,PRIX DE L'AUTOROUTE DE L'OUEST,Saint-cloud,4 - 2 - 8 - 13 - 9
01/11/2010,PRIX DU CHATEAU DE MAISONS-LAFFITTE,Maisons-laffitte,4 - 8 - 11 - 3 - 14
02/11/2010,PRIX DE LA PLAINE DES SABLONS,Fontainebleau,8 - 1 - 7 - 9 - 4
03/11/2010,PRIX DE SOULAC,Vincennes,10 - 13 - 12 - 18 - 14
04/11/2010,PRIX DE DORMANS,Saint-cloud,2 - 6 - 3 - 13 - 10
05/11/2010,PRIX BARBARA,Vincennes,9 - 4 - 7 - 2 - 5
06/11/2010,PRIX CACAO,Auteuil,13 - 5 - 17 - 16 - 3
07/11/2010,PRIX COUNT SCHOMBERG,Auteuil,4 - 7 - 16 - 9 - 12
08/11/2010,PRIX D'ARCACHON,Vincennes,1 - 3 - 18 - 12 - 13
09/11/2010,PRIX DU RHIN,Saint-cloud,3 - 11 - 2 - 16 - 12
10/11/2010,GRAND NATIONAL DU TROT,Nantes,13 - 12 - 10 - 5 - 11
11/11/2010,PRIX DE LA VILLE DE TOULOUSE,Toulouse,8 - 14 - 12 - 11 - 3
12/11/2010,PRIX GEMMA,Vincennes,14 - 9 - 13 - 10 - 15
13/11/2010,PRIX DE L'ELEVAGE,Saint-cloud,4 - 11 - 10 - 2 - 15
14/11/2010,PRIX MARC ANTONY,Auteuil,12 - 14 - 11 - 6 - 8
15/11/2010,PRIX DE COLOMBES,Vincennes,9 - 5 - 10 - 1 - 7
16/11/2010,PRIX D'ANJOU,Angers,4 - 7 - 12 - 9 - 13
17/11/2010,GRAND PRIX PARIS TURF,Bordeaux,17 - 7 - 11 - 18 - 3
18/11/2010,PRIX DE BOISSY-SAINT-LEGER,Vincennes,4 - 5 - 1 - 2 - 10
19/11/2010,PRIX MIZAR,Vincennes,1 - 3 - 4 - 2 - 5
20/11/2010,PRIX DE BRETAGNE,Vincennes,18 - 9 - 15 - 12 - 1
21/11/2010,PRIX FRANCOIS DE GANAY,Auteuil,1 - 13 - 10 - 19 - 15
22/11/2010,PRIX DE MONTIGNAC-CHARENTE,Vincennes,15 - 16 - 1 - 2 - 17
23/11/2010,PRIX DU MANOIR,Saint-cloud,7 - 11 - 6 - 16 - 10
24/11/2010,GRAND NATIONAL DU TROT,Mauquenchy,13 - 10 - 8 - 12 - 2
25/11/2010,PRIX LOUIS BRUNET,Marseille,10 - 4 - 3 - 8 - 2
26/11/2010,PRIX ARIETIS,Vincennes,6 - 10 - 5 - 11 - 15
27/11/2010,PRIX DE CHENONCEAUX,Vincennes,13 - 4 - 17 - 5 - 15
28/11/2010,PRIX JEAN LAUMAIN,Auteuil,7 - 15 - 9 - 6 - 2
29/11/2010,PRIX DE SILLE LE GUILLAUME,Vincennes,9 - 15 - 10 - 3 - 1
30/11/2010,PRIX HUBERT DE CATHEU,Deauville,9 - 18 - 1 - 14 - 13
01/12/2010,PRIX DE MESLAY DU MAINE,Vincennes,11 - 1 - 8 - 3 - 6
02/12/2010,PRIX DES LANDES,Vincennes,6 - 9 - 1 - 5 - 2
03/12/2010,PRIX MERCATOR,Vincennes,6 - 9 - 10 - 4 - 3
04/12/2010,PRIX DES ALPES,Vincennes,10 - 9 - 19 - 15 - 17
05/12/2010,PRIX DE SAINT GEORGES DE DIDONNE,Vincennes,7 - 5 - 6 - 8 - 9
06/12/2010,PRIX DE L'EURE,Vincennes,18 - 16 - 4 - 9 - 11
07/12/2010,PRIX DES PYRENEES,Vincennes,15 - 8 - 12 - 6 - 18
08/12/2010,PRIX LES MATHES-LA PALMYRE,Vincennes,6 - 5 - 2 - 9 - 3
09/12/2010,PRIX DE BLOIS,Vincennes,6 - 7 - 2 - 1 - 10
10/12/2010,PRIX POMONA,Vincennes,16 - 13 - 12 - 3 - 11
11/12/2010,PRIX DU BOURBONNAIS,Vincennes,4 - 2 - 12 - 14 - 17
12/12/2010,CRITERIUM DES 3 ANS,Vincennes,14 - 11 - 8 - 10 - 12
13/12/2010,PRIX DE LA PROMENADE DES ANGLAIS,Cagnes,7 - 9 - 1 - 3 - 4
14/12/2010,PRIX DES CALCEOLAIRES,Cabourg,5 - 3 - 12 - 9 - 10
15/12/2010,PRIX DE FOS SUR MER,Vincennes,3 - 12 - 14 - 13 - 11
16/12/2010,PRIX DE VILLERS COTTERETS,Vincennes,7 - 15 - 14 - 2 - 3
17/12/2010,PRIX DE TOURCOING,Vincennes,18 - 9 - 17 - 16 - 20
18/12/2010,PRIX DE SAINT-JAMES,Vincennes,2 - 4 - 3 - 16 - 5
19/12/2010,CLOTURE DU GRAND NATIONAL DU TROT,Vincennes,13 - 12 - 6 - 4 - 3
20/12/2010,PRIX DU DIXIEME ANNIVERSAIRE FRANCE BLEU AZUR,Cagnes,13 - 16 - 2 - 12 - 8
21/12/2010,PRIX GEORGES PASTRE,Pau,4 - 11 - 8 - 15 - 6
22/12/2010,PRIX DE MARENNES-OLERON,Vincennes,13 - 18 - 17 - 11 - 9
23/12/2010,PRIX DES MUFLIERS,Cabourg,4 - 7 - 8 - 13 - 10
24/12/2010,PRIX D'AMBOISE,Vincennes,4 - 13 - 16 - 18 - 2
25/12/2010,PRIX DE STRASBOURG,Vincennes,6 - 10 - 8 - 11 - 14
26/12/2010,CRITERIUM CONTINENTAL,Vincennes,5 - 6 - 15 - 1 - 13
27/12/2010,PRIX DU MONT SAINT-MICHEL,Deauville,8 - 1 - 5 - 11 - 7
28/12/2010,PRIX DE CRAON,Vincennes,12 - 4 - 16 - 14 - 5
29/12/2010,PRIX DE LA PICARDIE,Cagnes,8 - 3 - 9 - 15 - 13
30/12/2010,PRIX DE SALVANHAC,Vincennes,11 - 17 - 4 - 12 - 10
31/12/2010,PRIX DE SAINTE-MARIE-DU-MONT,Vincennes,8 - 7 - 1 - 16 - 6
