place,placeoptin,rapport,cr-reunion,cr-num,cr-nb_partants,cr-Hippodrome,cr-Evt,cr-Date,cr-autostart,cr-corde,cr-etat du terrain,cr-distance,Numcheval,CoteProbable,Sexe,NbRencontre,NbBattus,SommeNbRencontre,SommeNbBattus,NumCourseJockey,QteCourseJockeyJour,SumCote5Race,MoyenneCote5Race,qteCoteCheval,ETCote5Race,SumPoids,SumIdJockey,SumidHippodrome,SumIdDeferre,SumDistance,SumAllocation,PositionIdJockey,PositionidHippodrome,PositionIdDeferre,PositionDistance,PositionAllocation,pourcentIdJockey,pourcentidHippodrome,pourcentIdDeferre,pourcentDistance,pourcentAllocation,SommeCourse,nbjourdercourse,numeroagespec,numerodistancespec,numerodeferrespec,numerosexespec,numeroagesexedistancespec,idjockeynumcoursenbrcoursespec,jockeyReussite,jockeyReussitePlusPlace,jockeyReussiteSpecialite,jockeynReussiteDistance,jockeyReussiteIdcheval,jockeyReussiteDeferre,jockeynReussiteSpecialiteDeferre,jockeyReussiteDistanceDeferre,entraineurReussite,entraineurReussitePlusPlace,entraineurReussiteSpecialite,entraineurnReussiteDistance,entraineurReussiteIdcheval,chevalReussite,chevalReussitePlusPlace,chevalReussiteSpecialite,chevalnReussiteDistance,coteprobable,gains
0,2,0,3,1,14,Mauquenchy,0,02-01-2011,0,corde à gauche,terrain bon,2.225 mètres,5,5,F,0,0,0,0,0,1,0.6024,0.4683,0.4,0.5241,0,0.8182,1,0.8333,0,0.5,1,0,0,0,1,1,0,1,0,1,0.2105,0.8986,0,0.8261,0,0.2727,0.6667,0.6471,0.636,0.8982,0.617,0.2,1,0.0315,0,1,0,0,0,0,0,1,1,1,0,0.8611,0.9748
1,1,3.2,3,2,14,Mauquenchy,0,02-01-2011,0,corde à gauche,terrain bon,2.225 mètres,13,6,F,0,0,0,0,1,1,1,1,1,1,0,0.5,1,0.5714,1,0.5,0,0,0,0,1,0.5,0,0.5,0,1,0.8,0,0.25,0.0625,0.7333,0.4167,0,0,0.0816,0.7286,0,0,0.5,0.1733,1,0,0,0,0,0,0,0.25,0.2428,0.25,0,1,0.035
1,1,1.4,3,3,18,Mauquenchy,0,02-01-2011,0,corde à gauche,terrain bon,2.850 mètres,17,4,H,0,0,0,0,0,0,0.9654,0.9654,0.3333,0.9063,0,0.9636,0.875,0.5385,0.8182,0.6667,0.8889,1,1,1,0,0,1,0,1,0,0.7308,1,0,0.2353,0.9,0.375,0.04,0,0.196,0.3068,0.2248,0.3208,0,0,1,0.3778,0,0,0,0,0,0,0,0,1,1,0
0,8,0,3,4,17,Mauquenchy,0,02-01-2011,0,corde à gauche,terrain bon,2.850 mètres,12,5,F,0,0,0,0,1,1,0.9233,0.947,0.5,0.9176,0,0.5926,1,0.5385,1,0.6667,0.4,1,1,1,0,0.73,1,0.4043,1,0.5,1,0.9146,0.125,0.2353,0.8462,0.4286,0.5854,0.5294,0.4753,0.8689,0.4753,1,0.7273,0.3809,0,1,0,0,0,0,0,0.4886,0.5102,0.525,1,0.9787,0.8333
0,8,0,3,5,17,Mauquenchy,0,02-01-2011,0,corde à gauche,terrain bon,2.850 mètres,17,5,H,0,0,0,0,1,0.5,0.7617,0.8702,0,0.5239,0,0.6129,0.8571,0.5714,0.8333,1,0.2857,0.8,0.8,0,1,0.59,0,0.6,0,1,0.8214,0.9262,0.375,0.2353,0.9091,0.5,0.5357,0.5278,0.2145,0.3971,0.2145,0.3553,0.5833,0.3616,0.5834,0.1764,0,0,0,0,0,0,0,0,0,1,0
0,2,0,3,7,9,Mauquenchy,0,02-01-2011,0,corde à gauche,terrain bon,2.225 mètres,5,5,M,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.8953,0.2,0.7333,0.2222,0.0909,0.8261,0.7949,1,1,1,0,0,0.9345,0,0,0,0,0,0,0,0,0,0,0,0.9545,0.4956
1,1,1.7,3,8,10,Mauquenchy,0,02-01-2011,0,corde à gauche,terrain bon,2.225 mètres,4,4,F,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333,0.9167,0.4286,0.125,0.0667,0.52,0,0.8684,0,0.5715,0,0.1258,1,0.5,0,0,0,0,0,0,0,0,0,1,0.8649
1,1,1.8,2,2,14,Vincennes,0,03-01-2011,0,corde à gauche,terrain bon,2.700 mètres,14,4,M,0,0,0,0,0,1,0.7358,0.4717,0.6,0.7735,0,0.6,0.8,0.6667,0,1,0.3333,0.5,0.5,0,0,0,0,0,0,0,0,1,0.4,0.25,0.44,0.6667,0.1739,0.3571,0.6154,0.8645,0.6675,0.9016,0,0.3609,0.5556,0.5962,0.75,0.7426,0.75,1,0,0.2857,0.258,0.2857,0,0.9667,0.6947
1,1,2.3,2,6,13,Vincennes,0,03-01-2011,0,corde à gauche,terrain bon,2.850 mètres,13,7,H,0,0,0,0,0,0,0.9944,0.9601,0.5,0.7361,0,0.95,0.7333,0.9524,0.5556,0.5625,0.8,0.4,0.4,0.3333,0.3333,0,0.4032,0.2857,0.3333,0.43,0.7692,0.9534,0.125,0,0.4,0.8,0.3913,0.2353,0.4446,0.3043,0.5039,0.2576,0,0.3138,1,0.3084,1,1,1,1,0,0.2842,0.3067,0.2814,0.3333,0.88,0.2388
0,8,0,2,7,15,Vincennes,0,03-01-2011,0,corde à gauche,terrain bon,2.175 mètres,13,12,F,0,0,0,0,1,1,0.0452,0.0464,0,0.5553,0,0.08,0.1538,1,1,0.6667,0,0,0,1,0,0.7,0.7273,1,1,0,0.4,0.8649,0.125,0.5581,0.0625,0.125,1,0.6571,0.7354,0.8449,0.71,0.55,0.6957,0.6084,1,1,1,1,1,0,0,0.7296,0.7421,0.6843,1,0.75,0.877
