odds_id,runner_id,race_id,date,hippodrome,odds_type,decimal_odds,implied_prob,snapshot_time
20250909-R2-C3-4-final,20250909-R2-C3-4,20250909-R2-C3,20250909,SON PARDO,final,3.6,0.277778,2026-03-08 16:29:46.534293
20250909-R2-C3-4-morning,20250909-R2-C3-4,20250909-R2-C3,20250909,SON PARDO,morning,7.9,0.126582,2026-03-08 16:29:46.534293
20250909-R2-C3-5-final,20250909-R2-C3-5,20250909-R2-C3,20250909,SON PARDO,final,1.6,0.625,2026-03-08 16:29:46.534293
20250909-R2-C3-5-morning,20250909-R2-C3-5,20250909-R2-C3,20250909,SON PARDO,morning,1.6,0.625,2026-03-08 16:29:46.534293
20250909-R2-C3-6-final,20250909-R2-C3-6,20250909-R2-C3,20250909,SON PARDO,final,12.0,0.083333,2026-03-08 16:29:46.534293
20250909-R2-C3-6-morning,20250909-R2-C3-6,20250909-R2-C3,20250909,SON PARDO,morning,14.0,0.071429,2026-03-08 16:29:46.534293
20250909-R2-C3-7-final,20250909-R2-C3-7,20250909-R2-C3,20250909,SON PARDO,final,49.0,0.020408,2026-03-08 16:29:46.534293
20250909-R2-C3-7-morning,20250909-R2-C3-7,20250909-R2-C3,20250909,SON PARDO,morning,21.0,0.047619,2026-03-08 16:29:46.534293
20250909-R2-C3-8-final,20250909-R2-C3-8,20250909-R2-C3,20250909,SON PARDO,final,109.0,0.009174,2026-03-08 16:29:46.534293
20250909-R2-C3-8-morning,20250909-R2-C3-8,20250909-R2-C3,20250909,SON PARDO,morning,50.0,0.02,2026-03-08 16:29:46.534293
20250909-R2-C3-9-final,20250909-R2-C3-9,20250909-R2-C3,20250909,SON PARDO,final,20.0,0.05,2026-03-08 16:29:46.534293
20250909-R2-C3-9-morning,20250909-R2-C3-9,20250909-R2-C3,20250909,SON PARDO,morning,16.0,0.0625,2026-03-08 16:29:46.534293
20250909-R2-C4-1-final,20250909-R2-C4-1,20250909-R2-C4,20250909,SON PARDO,final,7.9,0.126582,2026-03-08 16:29:46.534293
20250909-R2-C4-1-morning,20250909-R2-C4-1,20250909-R2-C4,20250909,SON PARDO,morning,6.6,0.151515,2026-03-08 16:29:46.534293
20250909-R2-C4-10-final,20250909-R2-C4-10,20250909-R2-C4,20250909,SON PARDO,final,6.4,0.15625,2026-03-08 16:29:46.534293
20250909-R2-C4-10-morning,20250909-R2-C4-10,20250909-R2-C4,20250909,SON PARDO,morning,15.0,0.066667,2026-03-08 16:29:46.534293
20250909-R2-C4-11-final,20250909-R2-C4-11,20250909-R2-C4,20250909,SON PARDO,final,43.0,0.023256,2026-03-08 16:29:46.534293
20250909-R2-C4-11-morning,20250909-R2-C4-11,20250909-R2-C4,20250909,SON PARDO,morning,38.0,0.026316,2026-03-08 16:29:46.534293
20250909-R2-C4-2-final,20250909-R2-C4-2,20250909-R2-C4,20250909,SON PARDO,final,51.0,0.019608,2026-03-08 16:29:46.534293
20250909-R2-C4-2-morning,20250909-R2-C4-2,20250909-R2-C4,20250909,SON PARDO,morning,45.0,0.022222,2026-03-08 16:29:46.534293
20250909-R2-C4-3-final,20250909-R2-C4-3,20250909-R2-C4,20250909,SON PARDO,final,5.1,0.196078,2026-03-08 16:29:46.534293
20250909-R2-C4-3-morning,20250909-R2-C4-3,20250909-R2-C4,20250909,SON PARDO,morning,3.4,0.294118,2026-03-08 16:29:46.534293
20250909-R2-C4-4-final,20250909-R2-C4-4,20250909-R2-C4,20250909,SON PARDO,final,13.0,0.076923,2026-03-08 16:29:46.534293
20250909-R2-C4-4-morning,20250909-R2-C4-4,20250909-R2-C4,20250909,SON PARDO,morning,13.0,0.076923,2026-03-08 16:29:46.534293
20250909-R2-C4-5-final,20250909-R2-C4-5,20250909-R2-C4,20250909,SON PARDO,final,25.0,0.04,2026-03-08 16:29:46.534293
20250909-R2-C4-5-morning,20250909-R2-C4-5,20250909-R2-C4,20250909,SON PARDO,morning,27.0,0.037037,2026-03-08 16:29:46.534293
20250909-R2-C4-7-final,20250909-R2-C4-7,20250909-R2-C4,20250909,SON PARDO,final,32.0,0.03125,2026-03-08 16:29:46.534293
20250909-R2-C4-7-morning,20250909-R2-C4-7,20250909-R2-C4,20250909,SON PARDO,morning,17.0,0.058824,2026-03-08 16:29:46.534293
20250909-R2-C4-8-final,20250909-R2-C4-8,20250909-R2-C4,20250909,SON PARDO,final,3.5,0.285714,2026-03-08 16:29:46.534293
20250909-R2-C4-8-morning,20250909-R2-C4-8,20250909-R2-C4,20250909,SON PARDO,morning,5.2,0.192308,2026-03-08 16:29:46.534293
20250909-R2-C4-9-final,20250909-R2-C4-9,20250909-R2-C4,20250909,SON PARDO,final,5.1,0.196078,2026-03-08 16:29:46.534293
20250909-R2-C4-9-morning,20250909-R2-C4-9,20250909-R2-C4,20250909,SON PARDO,morning,4.4,0.227273,2026-03-08 16:29:46.534293
20250909-R2-C5-1-final,20250909-R2-C5-1,20250909-R2-C5,20250909,SON PARDO,final,50.0,0.02,2026-03-08 16:29:46.534293
20250909-R2-C5-1-morning,20250909-R2-C5-1,20250909-R2-C5,20250909,SON PARDO,morning,23.0,0.043478,2026-03-08 16:29:46.534293
20250909-R2-C5-10-final,20250909-R2-C5-10,20250909-R2-C5,20250909,SON PARDO,final,13.0,0.076923,2026-03-08 16:29:46.534293
20250909-R2-C5-10-morning,20250909-R2-C5-10,20250909-R2-C5,20250909,SON PARDO,morning,8.0,0.125,2026-03-08 16:29:46.534293
20250909-R2-C5-11-final,20250909-R2-C5-11,20250909-R2-C5,20250909,SON PARDO,final,29.0,0.034483,2026-03-08 16:29:46.534293
20250909-R2-C5-11-morning,20250909-R2-C5-11,20250909-R2-C5,20250909,SON PARDO,morning,21.0,0.047619,2026-03-08 16:29:46.534293
20250909-R2-C5-12-final,20250909-R2-C5-12,20250909-R2-C5,20250909,SON PARDO,final,3.7,0.27027,2026-03-08 16:29:46.534293
